capacity,cost,efficiency
7.211526626740208,2330796.007467153,0.0422933
14.26633167723044,3793856.2724238327,0.06504819
21.380435696662342,4657449.480325379,0.07871116
28.525783559411103,5894077.357649775,0.09912295
35.78923754042119,8038529.444152158,0.13488792
42.66455302888717,11109348.138704391,0.19271994
49.77996586668048,13391796.340961268,0.23204746
56.78311225680219,16797508.666838694,0.29275103
63.90134651709368,19709184.560421363,0.3437653
71.03209725602127,22623771.62197181,0.39335856
78.14262341775947,26026555.02976717,0.45318051
85.300896060368,29855019.51950963,0.51974628
92.3779746196676,34378031.77294993,0.60275268
99.36685541701154,40532497.88492843,0.71542612
106.53336725425795,47833377.10433799,0.85557387
113.87891594179868,57768198.89815242,1.03678228
121.24204196638244,71370521.32817583,1.29944445
128.80052890820414,87666556.01410764,1.60150639
136.35662208036513,107711488.6613818,1.9949666
143.8750751193148,150911748.36493328,2.8252863
