name,bus0,bus1,carrier,efficiency,build_year,lifetime,p_nom_extendable,p_nom_max,p_max_pu,p_min_pu,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,bus2,efficiency2,bus3,efficiency3,investment,fuel_costs,FOM,VOM,efficiency_ts,fuel_costs_ts,p_max_pu_ts,p_min_pu_ts,picewise_costs_func,p_nom_max_area,factor,p_nom_min_cap,description,capital_cost
biomethane boiler,district biomethane,district heat,biomethane boiler,1.06,0,25.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,50000.0,0.0,2020.41,1.06,,,,,,,,,data from DEA year 2020 gas boiler,5221.008139322729
biomethane CHP,district biomethane,district elec,biomethane CHP,0.43,0,25.0,True,inf,1.0,0.0,0,0,1,0,,,district heat,0.585,,,1276047.26,0.0,21267.4544,13.8238453,,,,,,,,1.0,,102949.74412087734
large scale heat pump,district elec,district heat,heat pump,,0,25.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,810000.0,0.0,2126.75,1.8,COP central large tdhn 60 air,,,,,,,1.0,source water 10 degree data from DEA year 2020 10 MW,53976.439857028214
geothermal plant,district elec,district heat,geothermal,25.0,0,30.0,True,0.0,1.0,0.7,0,0,1,0,,,,1.0,,,2650000.0,0.0,22437.16,6.23,,,,,,212200.0,5000.0,,data from DEA 1200m,175686.92270420247
heating grid,district heat,heat,heat,1.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,0.0,0.0,0.0,0.0,,,,,costs_func_heat_grid,,,,,0.0
TTES charge,district heat,TTES,TTES,1.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,18000.0,0.0,0.0,20.0,,,,,,,,,,1324.4715059153193
TTES discharge,TTES,district heat,TTES,1.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,18000.0,0.0,0.0,20.0,,,,,,,,,,1324.4715059153193
elec boiler,district elec,district heat,electricity,0.99,0,25.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,150000.0,0.0,1084.64,1.06,,,,,,,,,,10686.434417968188
PTES charge,district heat,PTES,PTES,1.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,18000.0,0.0,0.0,20.0,,,,,,,,,,1324.4715059153193
PTES discharge,PTES,district heat,PTES,1.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,18000.0,0.0,0.0,20.0,,,,,,,,,,1324.4715059153193
selling,district elec,elec market,electricity,0.0,0,20.0,True,inf,1.0,0.0,0,0,1,0,,,,1.0,,,0.0,-49.73,0.0,0.0,,,,,,,,,,0.0
